ID,sex,personal_status,checking_account_status,credit_duration_months,credit_history,credit_purpose,credit_amount,savings,employed_since_years,installment_rate,other_debtors_guarantors,present_residence_since,property,age_years,other_installment_plans,housing,num_existing_credits,job_status,num_people_liable_for,telephone,foreign_worker,credit_risk,age_groups
613,female/male,female (non-single) or male (single),no checking account,24,critical account/other credits existing (not at this bank),car (new),3632,unknown/no savings account,1 <= ... < 4 years,>= 35,guarantor,>= 7 yrs,building society savings agreement/life insurance,22,bank,for free,1,skilled employee/official,0 to 2,False,True,0,0
822,male,married/widowed,no checking account,36,no credits taken/all credits paid back duly,car (used),2712,unknown/no savings account,.. >= 7 years,25 <= ... < 35,none,1 <= ... < 4 yrs,car or other,41,bank,rent,1,skilled employee/official,3 or more,False,False,1,1
369,female/male,female (non-single) or male (single),... < 0 DM,18,no credits taken/all credits paid back duly,car (used),3001,unknown/no savings account,4 <= ... < 7 years,25 <= ... < 35,none,>= 7 yrs,unknown/no property,40,none,for free,1,skilled employee/official,0 to 2,False,False,0,1
623,female/male,female (non-single) or male (single),no checking account,12,no credits taken/all credits paid back duly,car (used),1858,unknown/no savings account,... < 1 year,< 20,none,< 1 yr,building society savings agreement/life insurance,22,none,for free,1,skilled employee/official,0 to 2,False,False,0,0
504,female/male,female (non-single) or male (single),no checking account,24,no credits taken/all credits paid back duly,others,1207,unknown/no savings account,... < 1 year,< 20,none,>= 7 yrs,car or other,24,none,for free,1,skilled employee/official,0 to 2,False,False,1,0
185,male,married/widowed,... >= 200 DM,15,all credits at this bank paid back duly,furniture/equipment,1360,unknown/no savings account,1 <= ... < 4 years,< 20,none,1 <= ... < 4 yrs,car or other,31,none,rent,2-3,skilled employee/official,0 to 2,False,False,0,1
248,male,married/widowed,0 <= ... < 200 DM,24,no credits taken/all credits paid back duly,car (used),1925,unknown/no savings account,1 <= ... < 4 years,25 <= ... < 35,none,1 <= ... < 4 yrs,unknown/no property,26,none,rent,1,skilled employee/official,0 to 2,False,False,0,1
730,male,married/widowed,... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,6403,unknown/no savings account,... < 1 year,>= 35,none,1 <= ... < 4 yrs,building society savings agreement/life insurance,33,none,rent,1,skilled employee/official,0 to 2,False,False,0,1
88,male,married/widowed,no checking account,18,no credits taken/all credits paid back duly,others,2249,... < 100 DM,4 <= ... < 7 years,< 20,none,4 <= ... < 7 yrs,building society savings agreement/life insurance,30,none,rent,1,management/self-employed/highly qualified employee/officer,3 or more,True,False,0,1
421,male,married/widowed,... < 0 DM,12,no credits taken/all credits paid back duly,car (new),2028,.. >= 1000 DM,1 <= ... < 4 years,< 20,none,1 <= ... < 4 yrs,building society savings agreement/life insurance,30,none,rent,1,skilled employee/official,0 to 2,False,False,0,1
536,female/male,female (non-single) or male (single),no checking account,6,no credits taken/all credits paid back duly,others,1374,.. >= 1000 DM,unemployed,< 20,none,4 <= ... < 7 yrs,car or other,75,none,rent,1,management/self-employed/highly qualified employee/officer,0 to 2,True,False,0,1
291,female,single,... < 0 DM,36,no credits taken/all credits paid back duly,car (new),9398,unknown/no savings account,... < 1 year,>= 35,none,>= 7 yrs,building society savings agreement/life insurance,28,none,for free,1,management/self-employed/highly qualified employee/officer,0 to 2,True,False,1,1
768,male,married/widowed,... < 0 DM,12,all credits at this bank paid back duly,car (used),3617,unknown/no savings account,.. >= 7 years,>= 35,none,>= 7 yrs,building society savings agreement/life insurance,28,none,for free,4-5,skilled employee/official,0 to 2,True,False,0,1
896,female/male,female (non-single) or male (single),no checking account,21,no credits taken/all credits paid back duly,furniture/equipment,2606,unknown/no savings account,... < 1 year,< 20,none,>= 7 yrs,car or other,28,none,for free,1,management/self-employed/highly qualified employee/officer,0 to 2,True,False,0,1
149,male,married/widowed,... >= 200 DM,18,all credits at this bank paid back duly,furniture/equipment,1582,500 <= ... < 1000 DM,.. >= 7 years,< 20,none,>= 7 yrs,building society savings agreement/life insurance,46,none,rent,2-3,skilled employee/official,0 to 2,False,False,0,1
673,female,single,... >= 200 DM,6,all credits at this bank paid back duly,others,2080,100 <= ... < 500 DM,1 <= ... < 4 years,>= 35,none,1 <= ... < 4 yrs,building society savings agreement/life insurance,24,none,rent,1,skilled employee/official,0 to 2,False,False,0,0
723,female/male,female (non-single) or male (single),... < 0 DM,9,no credits taken/all credits paid back duly,furniture/equipment,790,100 <= ... < 500 DM,1 <= ... < 4 years,< 20,none,4 <= ... < 7 yrs,unknown/no property,66,none,rent,1,unskilled - resident,0 to 2,False,False,0,1
988,male,married/widowed,no checking account,24,no credits taken/all credits paid back duly,car (new),6579,unknown/no savings account,unemployed,< 20,none,1 <= ... < 4 yrs,real estate,29,none,own,1,management/self-employed/highly qualified employee/officer,0 to 2,True,False,0,1
89,male,married/widowed,no checking account,12,delay in paying off in the past,domestic appliances,1108,unknown/no savings account,4 <= ... < 7 years,< 20,none,4 <= ... < 7 yrs,unknown/no property,28,none,rent,2-3,skilled employee/official,0 to 2,False,False,1,1
895,male,married/widowed,... >= 200 DM,36,existing credits paid back duly till now,car (new),8947,.. >= 1000 DM,4 <= ... < 7 years,20 <= ... < 25,none,1 <= ... < 4 yrs,building society savings agreement/life insurance,31,stores,rent,1,management/self-employed/highly qualified employee/officer,3 or more,True,False,0,1
119,male,divorced/separated,... < 0 DM,12,all credits at this bank paid back duly,others,2366,100 <= ... < 500 DM,4 <= ... < 7 years,20 <= ... < 25,none,4 <= ... < 7 yrs,building society savings agreement/life insurance,36,none,rent,1,management/self-employed/highly qualified employee/officer,0 to 2,True,False,0,1
694,male,married/widowed,... >= 200 DM,24,no credits taken/all credits paid back duly,furniture/equipment,2284,unknown/no savings account,4 <= ... < 7 years,< 20,none,1 <= ... < 4 yrs,building society savings agreement/life insurance,28,none,rent,1,skilled employee/official,0 to 2,True,False,0,1
288,female/male,female (non-single) or male (single),... < 0 DM,12,no credits taken/all credits paid back duly,furniture/equipment,1092,unknown/no savings account,1 <= ... < 4 years,< 20,guarantor,>= 7 yrs,unknown/no property,49,none,rent,2-3,skilled employee/official,0 to 2,True,False,0,1
523,female/male,female (non-single) or male (single),... >= 200 DM,24,no credits taken/all credits paid back duly,car (new),3488,... < 100 DM,4 <= ... < 7 years,20 <= ... < 25,none,>= 7 yrs,building society savings agreement/life insurance,23,none,rent,1,skilled employee/official,0 to 2,False,False,0,0
837,female/male,female (non-single) or male (single),... >= 200 DM,4,no credits taken/all credits paid back duly,car (used),601,unknown/no savings account,... < 1 year,>= 35,none,4 <= ... < 7 yrs,unknown/no property,23,none,for free,1,unskilled - resident,3 or more,False,False,0,0
999,male,married/widowed,... < 0 DM,45,all credits at this bank paid back duly,car (new),4576,... < 100 DM,unemployed,20 <= ... < 25,none,>= 7 yrs,building society savings agreement/life insurance,27,none,rent,1,skilled employee/official,0 to 2,False,False,0,1
440,male,married/widowed,... >= 200 DM,12,no credits taken/all credits paid back duly,others,1884,unknown/no savings account,.. >= 7 years,< 20,none,>= 7 yrs,building society savings agreement/life insurance,39,none,rent,1,management/self-employed/highly qualified employee/officer,0 to 2,True,False,0,1
502,male,divorced/separated,0 <= ... < 200 DM,9,no credits taken/all credits paid back duly,furniture/equipment,1126,... < 100 DM,.. >= 7 years,25 <= ... < 35,none,>= 7 yrs,unknown/no property,49,none,rent,1,skilled employee/official,0 to 2,False,False,0,1
264,male,married/widowed,... >= 200 DM,10,all credits at this bank paid back duly,others,1231,unknown/no savings account,.. >= 7 years,20 <= ... < 25,none,>= 7 yrs,unknown/no property,32,none,rent,2-3,unskilled - resident,3 or more,False,True,0,1
875,female/male,female (non-single) or male (single),... < 0 DM,11,all credits at this bank paid back duly,others,1322,500 <= ... < 1000 DM,1 <= ... < 4 years,< 20,none,>= 7 yrs,building society savings agreement/life insurance,40,none,rent,2-3,skilled employee/official,0 to 2,False,False,0,1
60,female,single,... < 0 DM,9,no credits taken/all credits paid back duly,retraining,1391,unknown/no savings account,1 <= ... < 4 years,25 <= ... < 35,none,< 1 yr,unknown/no property,27,bank,rent,1,skilled employee/official,0 to 2,True,False,0,1
979,female,single,... < 0 DM,15,critical account/other credits existing (not at this bank),others,1264,... < 100 DM,1 <= ... < 4 years,25 <= ... < 35,none,1 <= ... < 4 yrs,car or other,25,none,for free,1,skilled employee/official,0 to 2,False,False,1,1
561,male,married/widowed,no checking account,24,critical account/other credits existing (not at this bank),furniture/equipment,1546,unknown/no savings account,4 <= ... < 7 years,< 20,guarantor,>= 7 yrs,building society savings agreement/life insurance,24,bank,for free,1,unskilled - resident,0 to 2,False,False,1,0
968,female,single,... >= 200 DM,42,no credits taken/all credits paid back duly,furniture/equipment,7166,.. >= 1000 DM,4 <= ... < 7 years,25 <= ... < 35,none,>= 7 yrs,car or other,29,none,for free,1,skilled employee/official,0 to 2,True,False,0,1
765,female,single,... < 0 DM,12,no credits taken/all credits paid back duly,furniture/equipment,1155,unknown/no savings account,.. >= 7 years,20 <= ... < 25,guarantor,4 <= ... < 7 yrs,unknown/no property,40,bank,rent,2-3,unskilled - resident,0 to 2,False,False,0,1
514,male,married/widowed,... >= 200 DM,24,no credits taken/all credits paid back duly,others,2255,.. >= 1000 DM,... < 1 year,< 20,none,< 1 yr,car or other,54,none,rent,1,skilled employee/official,0 to 2,False,False,0,1
805,male,married/widowed,no checking account,36,no credits taken/all credits paid back duly,others,9271,unknown/no savings account,4 <= ... < 7 years,25 <= ... < 35,none,< 1 yr,building society savings agreement/life insurance,24,none,rent,1,skilled employee/official,0 to 2,True,False,1,0
714,male,married/widowed,... < 0 DM,60,no credits taken/all credits paid back duly,others,14027,unknown/no savings account,4 <= ... < 7 years,< 20,none,1 <= ... < 4 yrs,real estate,27,none,rent,1,management/self-employed/highly qualified employee/officer,0 to 2,True,False,1,1
845,male,married/widowed,... < 0 DM,21,no credits taken/all credits paid back duly,car (used),3976,.. >= 1000 DM,4 <= ... < 7 years,25 <= ... < 35,none,4 <= ... < 7 yrs,building society savings agreement/life insurance,35,none,rent,1,skilled employee/official,0 to 2,True,False,0,1
791,male,married/widowed,... >= 200 DM,24,no credits taken/all credits paid back duly,car (new),6313,.. >= 1000 DM,.. >= 7 years,20 <= ... < 25,none,>= 7 yrs,building society savings agreement/life insurance,41,none,rent,1,management/self-employed/highly qualified employee/officer,3 or more,True,False,0,1
844,male,married/widowed,... >= 200 DM,18,no credits taken/all credits paid back duly,car (used),3422,unknown/no savings account,.. >= 7 years,< 20,none,>= 7 yrs,car or other,47,bank,rent,4-5,skilled employee/official,3 or more,True,False,0,1
902,male,married/widowed,... >= 200 DM,36,all credits at this bank paid back duly,car (new),10477,.. >= 1000 DM,.. >= 7 years,25 <= ... < 35,none,>= 7 yrs,real estate,42,none,own,2-3,skilled employee/official,0 to 2,False,False,0,1
161,female/male,female (non-single) or male (single),... >= 200 DM,18,all credits at this bank paid back duly,others,1055,unknown/no savings account,... < 1 year,< 20,none,< 1 yr,car or other,30,none,rent,2-3,skilled employee/official,0 to 2,False,False,0,1
251,female/male,female (non-single) or male (single),0 <= ... < 200 DM,12,no credits taken/all credits paid back duly,car (used),2251,unknown/no savings account,1 <= ... < 4 years,>= 35,none,1 <= ... < 4 yrs,building society savings agreement/life insurance,46,none,rent,1,unskilled - resident,0 to 2,False,False,0,1
256,male,married/widowed,... >= 200 DM,24,all credits at this bank paid back duly,furniture/equipment,2684,unknown/no savings account,1 <= ... < 4 years,< 20,none,1 <= ... < 4 yrs,unknown/no property,35,none,rent,2-3,unskilled - resident,0 to 2,False,False,0,1
538,male,married/widowed,no checking account,48,no credits taken/all credits paid back duly,others,7763,unknown/no savings account,.. >= 7 years,< 20,none,>= 7 yrs,real estate,42,bank,own,1,management/self-employed/highly qualified employee/officer,0 to 2,False,False,1,1
543,male,married/widowed,0 <= ... < 200 DM,18,no credits taken/all credits paid back duly,car (used),2864,unknown/no savings account,1 <= ... < 4 years,25 <= ... < 35,none,< 1 yr,unknown/no property,34,none,rent,1,unskilled - resident,3 or more,False,False,1,1
11,female/male,female (non-single) or male (single),no checking account,48,no credits taken/all credits paid back duly,retraining,4308,unknown/no savings account,... < 1 year,20 <= ... < 25,none,>= 7 yrs,car or other,24,none,for free,1,skilled employee/official,0 to 2,False,False,1,0
252,female/male,female (non-single) or male (single),... < 0 DM,30,no credits taken/all credits paid back duly,others,2150,unknown/no savings account,1 <= ... < 4 years,< 20,guarantor,1 <= ... < 4 yrs,real estate,24,bank,rent,1,skilled employee/official,0 to 2,False,False,1,0
45,female/male,female (non-single) or male (single),... >= 200 DM,11,all credits at this bank paid back duly,others,1393,unknown/no savings account,... < 1 year,< 20,none,>= 7 yrs,building society savings agreement/life insurance,35,none,rent,2-3,management/self-employed/highly qualified employee/officer,0 to 2,False,False,0,1
204,male,married/widowed,... >= 200 DM,12,all credits at this bank paid back duly,others,1495,unknown/no savings account,.. >= 7 years,< 20,none,< 1 yr,unknown/no property,38,none,rent,2-3,unskilled - resident,3 or more,False,False,0,1
295,female/male,female (non-single) or male (single),... < 0 DM,48,no credits taken/all credits paid back duly,car (used),9960,unknown/no savings account,... < 1 year,>= 35,none,1 <= ... < 4 yrs,building society savings agreement/life insurance,26,none,rent,1,skilled employee/official,0 to 2,True,False,1,1
305,male,divorced/separated,... >= 200 DM,6,no credits taken/all credits paid back duly,car (used),1543,500 <= ... < 1000 DM,1 <= ... < 4 years,< 20,none,1 <= ... < 4 yrs,unknown/no property,33,none,rent,1,skilled employee/official,0 to 2,False,False,0,1
299,male,married/widowed,... < 0 DM,21,all credits at this bank paid back duly,car (used),2745,500 <= ... < 1000 DM,4 <= ... < 7 years,20 <= ... < 25,none,1 <= ... < 4 yrs,building society savings agreement/life insurance,32,none,rent,2-3,skilled employee/official,0 to 2,True,False,0,1
667,female/male,female (non-single) or male (single),... >= 200 DM,48,critical account/other credits existing (not at this bank),retraining,3609,unknown/no savings account,1 <= ... < 4 years,>= 35,none,< 1 yr,unknown/no property,27,stores,rent,1,skilled employee/official,0 to 2,False,False,0,1
847,female,single,... >= 200 DM,24,no credits taken/all credits paid back duly,others,1249,unknown/no savings account,... < 1 year,< 20,none,1 <= ... < 4 yrs,unknown/no property,28,none,rent,1,skilled employee/official,0 to 2,False,False,0,1
420,female/male,female (non-single) or male (single),... >= 200 DM,15,no credits taken/all credits paid back duly,others,3186,500 <= ... < 1000 DM,4 <= ... < 7 years,25 <= ... < 35,none,4 <= ... < 7 yrs,building society savings agreement/life insurance,20,none,for free,1,skilled employee/official,0 to 2,False,False,0,0
406,male,married/widowed,... >= 200 DM,24,all credits at this bank paid back duly,car (new),2197,.. >= 1000 DM,4 <= ... < 7 years,< 20,none,>= 7 yrs,building society savings agreement/life insurance,43,none,rent,2-3,skilled employee/official,3 or more,True,False,0,1
108,female/male,female (non-single) or male (single),no checking account,24,no credits taken/all credits paid back duly,car (used),7721,.. >= 1000 DM,... < 1 year,>= 35,none,1 <= ... < 4 yrs,car or other,30,none,rent,1,skilled employee/official,0 to 2,True,True,0,1
426,male,married/widowed,... >= 200 DM,28,all credits at this bank paid back duly,furniture/equipment,2743,unknown/no savings account,.. >= 7 years,< 20,none,1 <= ... < 4 yrs,building society savings agreement/life insurance,29,none,rent,2-3,skilled employee/official,0 to 2,False,False,0,1
351,female/male,female (non-single) or male (single),... < 0 DM,9,no credits taken/all credits paid back duly,car (used),959,unknown/no savings account,1 <= ... < 4 years,>= 35,none,1 <= ... < 4 yrs,building society savings agreement/life insurance,29,none,rent,1,skilled employee/official,0 to 2,False,True,1,1
32,male,married/widowed,... < 0 DM,18,no credits taken/all credits paid back duly,others,5866,... < 100 DM,1 <= ... < 4 years,25 <= ... < 35,none,1 <= ... < 4 yrs,building society savings agreement/life insurance,30,none,rent,2-3,skilled employee/official,0 to 2,True,False,0,1
893,male,married/widowed,... < 0 DM,36,all credits at this bank paid back duly,car (new),5800,unknown/no savings account,1 <= ... < 4 years,20 <= ... < 25,none,>= 7 yrs,building society savings agreement/life insurance,34,none,rent,2-3,skilled employee/official,0 to 2,True,False,0,1
908,female/male,female (non-single) or male (single),... >= 200 DM,15,existing credits paid back duly till now,car (new),3594,unknown/no savings account,... < 1 year,>= 35,none,1 <= ... < 4 yrs,car or other,46,none,rent,2-3,unskilled - resident,0 to 2,False,False,0,1
732,female/male,female (non-single) or male (single),... < 0 DM,8,no credits taken/all credits paid back duly,furniture/equipment,760,unknown/no savings account,4 <= ... < 7 years,< 20,guarantor,1 <= ... < 4 yrs,unknown/no property,44,none,rent,1,unskilled - resident,0 to 2,False,False,0,1
75,male,married/widowed,no checking account,12,all credits at this bank paid back duly,car (new),1526,unknown/no savings account,.. >= 7 years,< 20,none,>= 7 yrs,real estate,66,none,own,2-3,management/self-employed/highly qualified employee/officer,0 to 2,False,False,0,1
736,female/male,female (non-single) or male (single),... < 0 DM,24,no credits taken/all credits paid back duly,car (new),11560,unknown/no savings account,1 <= ... < 4 years,>= 35,none,>= 7 yrs,building society savings agreement/life insurance,23,none,for free,2-3,management/self-employed/highly qualified employee/officer,0 to 2,False,False,1,0
959,male,married/widowed,... < 0 DM,24,no credits taken/all credits paid back duly,car (used),3069,... < 100 DM,.. >= 7 years,< 20,none,>= 7 yrs,real estate,30,none,own,1,skilled employee/official,0 to 2,False,False,0,1
669,male,married/widowed,0 <= ... < 200 DM,30,all credits at this bank paid back duly,furniture/equipment,3017,unknown/no savings account,.. >= 7 years,< 20,none,>= 7 yrs,car or other,47,none,rent,1,skilled employee/official,0 to 2,False,False,0,1
35,male,married/widowed,... < 0 DM,45,all credits at this bank paid back duly,furniture/equipment,4746,unknown/no savings account,... < 1 year,< 20,none,1 <= ... < 4 yrs,car or other,25,none,rent,2-3,unskilled - resident,0 to 2,False,False,1,1
882,male,married/widowed,... < 0 DM,30,all credits at this bank paid back duly,others,2181,.. >= 1000 DM,.. >= 7 years,< 20,none,>= 7 yrs,unknown/no property,36,none,rent,2-3,skilled employee/official,0 to 2,False,False,0,1
202,male,married/widowed,... >= 200 DM,27,existing credits paid back duly till now,retraining,5117,unknown/no savings account,4 <= ... < 7 years,20 <= ... < 25,none,>= 7 yrs,building society savings agreement/life insurance,26,none,rent,2-3,skilled employee/official,0 to 2,False,False,0,1
38,male,married/widowed,0 <= ... < 200 DM,10,no credits taken/all credits paid back duly,radio/television,1225,unknown/no savings account,1 <= ... < 4 years,25 <= ... < 35,none,1 <= ... < 4 yrs,building society savings agreement/life insurance,37,none,rent,1,skilled employee/official,0 to 2,True,False,0,1
661,female,single,no checking account,12,no credits taken/all credits paid back duly,others,900,.. >= 1000 DM,1 <= ... < 4 years,< 20,none,1 <= ... < 4 yrs,building society savings agreement/life insurance,23,none,rent,1,skilled employee/official,0 to 2,False,False,1,0
709,male,married/widowed,... < 0 DM,9,no credits taken/all credits paid back duly,furniture/equipment,2118,unknown/no savings account,1 <= ... < 4 years,25 <= ... < 35,none,1 <= ... < 4 yrs,unknown/no property,37,none,rent,1,unskilled - resident,3 or more,False,False,0,1
929,male,married/widowed,no checking account,12,existing credits paid back duly till now,others,1344,unknown/no savings account,1 <= ... < 4 years,< 20,none,1 <= ... < 4 yrs,unknown/no property,43,none,rent,2-3,unskilled - resident,3 or more,False,False,0,1
422,male,married/widowed,... < 0 DM,12,all credits at this bank paid back duly,others,958,unknown/no savings account,4 <= ... < 7 years,25 <= ... < 35,none,4 <= ... < 7 yrs,unknown/no property,47,none,rent,2-3,unskilled - resident,3 or more,False,False,0,1
124,female/male,female (non-single) or male (single),... < 0 DM,18,no credits taken/all credits paid back duly,car (used),1924,.. >= 1000 DM,... < 1 year,< 20,none,4 <= ... < 7 yrs,unknown/no property,27,none,for free,1,skilled employee/official,0 to 2,False,False,1,1
355,male,married/widowed,... < 0 DM,24,no credits taken/all credits paid back duly,others,1246,unknown/no savings account,... < 1 year,< 20,none,1 <= ... < 4 yrs,unknown/no property,23,stores,rent,1,unskilled - resident,0 to 2,False,False,1,0
565,female/male,female (non-single) or male (single),... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,1553,... < 100 DM,4 <= ... < 7 years,20 <= ... < 25,none,1 <= ... < 4 yrs,car or other,23,none,for free,2-3,skilled employee/official,0 to 2,True,False,0,0
506,male,married/widowed,0 <= ... < 200 DM,15,all credits at this bank paid back duly,car (new),2360,100 <= ... < 500 DM,1 <= ... < 4 years,25 <= ... < 35,none,1 <= ... < 4 yrs,building society savings agreement/life insurance,36,none,rent,1,skilled employee/official,0 to 2,True,False,0,1
954,female/male,female (non-single) or male (single),no checking account,12,no credits taken/all credits paid back duly,others,1893,unknown/no savings account,1 <= ... < 4 years,< 20,guarantor,>= 7 yrs,car or other,29,none,rent,1,skilled employee/official,0 to 2,True,False,0,1
377,male,married/widowed,... >= 200 DM,7,existing credits paid back duly till now,furniture/equipment,846,.. >= 1000 DM,.. >= 7 years,20 <= ... < 25,none,>= 7 yrs,real estate,36,none,own,1,skilled employee/official,0 to 2,False,False,0,1
